name,date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
Albany,2020-03-12,R,NA,Estimate,0.83749438087424,1.18651250089022,0.958302529105698,1.09624962013187,1.00660881709176,1.00995605396386,0.10743353787225
Albany,2020-03-13,R,NA,Estimate,0.86491302140056,1.17441615854413,0.95804136849502,1.08361252582773,1.00732810593719,1.00784349543763,0.0954600068944768
Albany,2020-03-14,R,NA,Estimate,0.873435527833853,1.14631296328799,0.959292504256618,1.07240256141107,1.00802261163096,1.00653633034054,0.0845913612314063
Albany,2020-03-15,R,NA,Estimate,0.888618316995231,1.12946434359989,0.963479989028014,1.06424037911574,1.00790219275376,1.00616536231492,0.0750529850716896
Albany,2020-03-16,R,NA,Estimate,0.892565704730048,1.10775440855215,0.951046325157282,1.04039282859999,1.00896821957945,1.0068501117014,0.067060889320427
Albany,2020-03-17,R,NA,Estimate,0.915070458315308,1.11254862008086,0.968652002075269,1.04882382491802,1.00878280753888,1.00869582304615,0.060784901669424
Albany,2020-03-18,R,NA,Estimate,0.912625026537444,1.09282942944572,0.973833941552823,1.04828661943112,1.01166504252709,1.01179072768954,0.0562943935176659
Albany,2020-03-19,R,NA,Estimate,0.929240046477217,1.0999501323994,0.977926355220638,1.04764744764861,1.01527134722499,1.01620337881385,0.0535086515756134
Albany,2020-03-20,R,NA,Estimate,0.941423422723644,1.11101124582299,0.99805188876604,1.06316746577607,1.02020407415436,1.02197986446312,0.0521906100528211
Albany,2020-03-21,R,NA,Estimate,0.939648805657941,1.10489990607101,0.995376231431008,1.05964622241437,1.02859954883516,1.0291407393268,0.0520027584497997
Albany,2020-03-22,R,NA,Estimate,0.952482511533433,1.12110549412621,1.00303126487617,1.06732450145855,1.03851398247255,1.03767759749152,0.0525955977423285
Albany,2020-03-23,R,NA,Estimate,0.954254927188302,1.12657231209422,1.01844700402015,1.08427197629258,1.04724008021834,1.04754932704618,0.0536787519424422
Albany,2020-03-24,R,NA,Estimate,0.976537177873634,1.15434632432811,1.0236454580706,1.09462470126299,1.06006726270556,1.0586782274692,0.0550502204307363
Albany,2020-03-25,R,NA,Estimate,0.980858383127415,1.16012149255526,1.03604602338443,1.1097034236786,1.06938992527775,1.07094631193539,0.0565904012464882
Albany,2020-03-26,R,NA,Estimate,0.995229414069247,1.17837330891981,1.04984638693866,1.12483754621734,1.08235425958435,1.08419223813336,0.0582381278177047
Albany,2020-03-27,R,NA,Estimate,0.998791633734469,1.18895102335997,1.0544579593974,1.13194340029836,1.0968668409904,1.09820939404018,0.0599625544959155
Albany,2020-03-28,R,NA,Estimate,1.00536367388659,1.20463500820179,1.07192344228518,1.15114748936981,1.11216047572445,1.11274569398242,0.0617390149279299
Albany,2020-03-29,R,NA,Estimate,1.01892139190038,1.22438080912295,1.0885828749626,1.16986243451843,1.12566087531385,1.12750560399487,0.0635330073302742
Albany,2020-03-30,R,NA,Estimate,1.02929223902787,1.24160589684261,1.10582634569808,1.1892416910205,1.14074820373084,1.14215480816696,0.06529376737453
Albany,2020-03-31,R,NA,Estimate,1.03656368427858,1.25230281232213,1.10786356977186,1.19539248025104,1.15264512181158,1.15632775127916,0.0669565873561776
Albany,2020-04-01,R,NA,Estimate,1.06002956500335,1.2757095613065,1.10070710698509,1.19091234921438,1.1657602096834,1.16963805952045,0.06845108794557
Albany,2020-04-02,R,NA,Estimate,1.06515918617579,1.2870584512036,1.11082712379631,1.20250943140532,1.17750713247112,1.18169157268342,0.0697115304404957
Albany,2020-04-03,R,NA,Estimate,1.08445339179768,1.30982796252381,1.12955350013757,1.22415330749054,1.18814318557965,1.19210144750346,0.070685360442117
Albany,2020-04-04,R,NA,Estimate,1.08563707043418,1.31123305838119,1.14622343018648,1.24090645840053,1.19747679471241,1.2005045439982,0.0713374648728988
Albany,2020-04-05,R,NA,Estimate,1.10946392186884,1.33777517750272,1.14412629158879,1.23931082983519,1.20207639950541,1.20657811198448,0.0716496525159241
Albany,2020-04-06,R,NA,Estimate,1.09336040109434,1.32166701484368,1.15119542353854,1.24821519404266,1.20634583332241,1.2100556734763,0.0716169039819939
Albany,2020-04-07,R,NA,Estimate,1.09530123425133,1.32475823227844,1.16062966178382,1.25698710756329,1.20616322403317,1.21074096186559,0.0712431826072136
Albany,2020-04-08,R,NA,Estimate,1.10764922045489,1.3366368897708,1.15199587053847,1.24349863715196,1.20533014367347,1.20851883994229,0.0705395135922428
Albany,2020-04-09,R,NA,Estimate,1.09987998216441,1.32368793662445,1.14924259353769,1.23880402552067,1.19914741607996,1.20336228190625,0.0695256749330258
Albany,2020-04-10,R,NA,Estimate,1.0856212894152,1.30904127003657,1.1351380371402,1.22303775437821,1.19263743423089,1.19533476922186,0.0682348879805945
Albany,2020-04-11,R,NA,Estimate,1.07424589500286,1.28916690507626,1.12690446373471,1.21357559373291,1.18138245908896,1.18458780370398,0.0667192847549383
Albany,2020-04-12,R,NA,Estimate,1.06109415694781,1.26720394289735,1.12335447599579,1.20768907079796,1.16745235031137,1.1713536531774,0.0650532902901119
Albany,2020-04-13,R,NA,Estimate,1.05297152133877,1.25153707147852,1.10576314964262,1.18814328957531,1.15118188927608,1.15593386744501,0.0633324451636413
Albany,2020-04-14,R,NA,Estimate,1.04856474597035,1.24485238410103,1.09968871992987,1.17889449655664,1.13525075156053,1.13868447698753,0.0616662935837341
Albany,2020-04-15,R,NA,Estimate,1.02649131745271,1.2190607196207,1.08021388195019,1.15434494203411,1.11746260161106,1.11999905825379,0.0601654843964909
